T_amb,P_pv,P_wind,P_load,Qdot_load
273.15,0.0,4150300.0,520239.35,12898534.64
273.24,0.0,8755450.0,770166.05,17095446.37
272.73,0.0,6140700.0,3576136.38,17117204.5
272.37,106110.0,11890150.0,10386248.9,12982270.48
272.98,848880.0,4150300.0,12993098.49,10934591.46
273.34,1839240.0,6140700.0,12476912.48,10679366.04
273.85,2582010.0,4150300.0,11976174.91,10731673.09
274.38,2864970.0,4150300.0,11640382.79,10820391.16
274.57,2652750.0,8755450.0,8994599.2,10929534.05
274.23,1945350.0,8755450.0,7728802.0,11055416.83
273.69,954990.0,8755450.0,9128459.05,11214980.56
272.94,141480.0,6140700.0,7900522.91,11536004.8
272.81,0.0,4150300.0,4810629.41,12456365.49
272.69,0.0,4150300.0,2664311.76,14625387.56
271.76,0.0,6140700.0,1181610.74,17639524.36
270.76,0.0,4150300.0,890683.63,19239950.56
270.06,0.0,2692450.0,707249.73,17844578.26
269.14,0.0,1483650.0,801301.33,15013077.88
268.18,0.0,2692450.0,836668.78,12983175.98
267.43,0.0,6140700.0,457640.94,12000597.91
267.82,0.0,8755450.0,767652.57,12027193.19
267.59,0.0,1483650.0,456458.72,12052325.56
267.43,0.0,4150300.0,771149.58,12085292.91
267.7,0.0,4150300.0,708660.45,12418100.35
268.21,0.0,4150300.0,460223.96,14540504.26
268.55,0.0,8755450.0,1216312.57,18720273.21
267.65,0.0,6140700.0,3590005.19,18731262.17
268.12,106110.0,11890150.0,10675715.62,14588416.1
269.36,848880.0,4150300.0,12682609.99,12496341.71
271.95,1839240.0,6140700.0,12641619.51,12183973.72
272.55,2582010.0,4150300.0,12224591.53,12154742.73
273.17,2864970.0,4150300.0,11368232.22,12129175.66
273.44,2652750.0,8755450.0,8939869.06,12098978.61
273.46,1945350.0,8755450.0,8255906.21,12086180.79
272.74,954990.0,8755450.0,9172727.98,12093657.39
271.8,141480.0,6140700.0,7668210.4,12259078.02
272.27,0.0,4150300.0,5024215.05,13040098.77
272.19,0.0,4150300.0,2655281.14,15088022.55
270.62,0.0,6140700.0,1680182.56,17990291.8
270.52,0.0,4150300.0,1214464.72,19429180.36
270.08,0.0,2692450.0,867764.32,17896665.9
269.74,0.0,1483650.0,814087.26,14944287.03
269.33,0.0,2692450.0,676303.21,12879879.81
268.81,0.0,6140700.0,522057.4,11865433.76
268.51,0.0,2692450.0,712912.5,11841040.3
268.45,0.0,4150300.0,1029341.93,11820238.83
268.3,0.0,4150300.0,943108.92,11815623.96
268.46,0.0,1483650.0,727546.28,12104695.36
268.78,0.0,4150300.0,842321.61,14191055.5
268.95,0.0,8755450.0,486193.21,18392582.58
269.92,0.0,6140700.0,639972.09,18425989.01
270.11,176850.0,1483650.0,595971.4,14286879.19
271.24,1733130.0,0.0,1110081.06,12219420.05
272.13,2631130.0,0.0,1556446.14,11926392.62
272.7,0.0,0.0,1693038.03,11920458.21
274.28,7109370.0,6434150.0,1715400.99,11925660.22
274.4,0.0,7442050.0,1021274.97,11922276.22
274.4,0.0,0.0,1015582.4,11920906.91
273.78,3360150.0,0.0,1104179.86,11946405.39
272.3,601290.0,4150300.0,1232734.59,12126331.45
270.74,0.0,8272300.0,692059.61,12923615.85
270.67,0.0,4150300.0,868370.34,15002088.93
269.31,0.0,4150300.0,823286.77,17951390.9
269.16,0.0,1483650.0,1111362.63,19522146.92
269.22,0.0,2692450.0,472076.03,18121280.14
269.28,0.0,1483650.0,653284.56,15302307.17
269.08,0.0,581950.0,786598.0,13281196.44
268.97,0.0,6140700.0,878076.52,12274882.22
268.68,0.0,2692450.0,801430.48,12299499.49
268.49,0.0,4150300.0,955139.82,12327049.42
268.51,0.0,4150300.0,260050.13,12376280.43
268.48,0.0,1483650.0,519494.25,12720296.61
267.96,0.0,4150300.0,739467.89,14835447.81
267.21,0.0,8755450.0,1013426.57,18995436.64
266.19,0.0,6140700.0,1047601.87,18990161.94
266.11,176850.0,1483650.0,1028030.55,14794349.12
267.05,1733130.0,0.0,1248957.92,12667329.84
270.34,2631130.0,0.0,1608722.42,12329247.7
272.48,0.0,0.0,1631611.91,12288368.42
273.16,7109370.0,6434150.0,1479482.19,12256207.98
273.16,0.0,7442050.0,1050751.16,12224472.48
272.89,0.0,0.0,1244785.36,12186180.28
272.32,3360150.0,0.0,913801.62,12165525.15
271.49,601290.0,4150300.0,919553.8,12301055.83
271.1,0.0,8272300.0,1037836.08,13048670.15
270.91,0.0,4150300.0,744196.8,15045385.41
270.58,0.0,4150300.0,587060.0,17873149.54
270.51,0.0,1483650.0,950361.24,19249840.62
270.41,0.0,2692450.0,973767.34,17639744.14
270.41,0.0,1483650.0,682840.23,14617915.07
270.53,0.0,581950.0,851093.93,12504277.34
270.42,0.0,11890150.0,878950.77,11475325.87
270.53,0.0,6140700.0,754658.01,11466536.72
270.63,0.0,16694650.0,716071.72,11447493.49
270.74,0.0,6140700.0,656523.26,11436065.46
270.76,0.0,8755450.0,427419.65,11715027.03
270.86,0.0,4150300.0,894150.83,13772376.32
271.0,0.0,8755450.0,1027066.89,17908629.02
271.29,0.0,8755450.0,3484339.96,17887530.22
271.63,530550.0,16694650.0,10677732.35,13694574.53
272.09,2122200.0,8755450.0,12982925.38,11572829.95
272.76,4067550.0,6140700.0,12819172.08,11236506.05
273.29,7215480.0,6140700.0,12569622.9,11199582.78
273.56,9479150.0,4150300.0,11396387.1,11187642.02
274.04,7533810.0,8755450.0,9210002.89,11180961.33
274.14,7922880.0,8755450.0,8010032.87,11176295.34
273.82,5057910.0,4150300.0,9196899.05,11190145.53
273.31,1344060.0,2692450.0,7637263.88,11363038.65
272.54,35370.0,0.0,4736775.01,12148015.42
271.87,0.0,1483650.0,2654387.02,14196818.33
271.72,0.0,581950.0,1454456.74,17097109.56
271.62,0.0,6140700.0,824071.61,18575338.58
271.52,0.0,4150300.0,915341.5,17080626.13
271.36,0.0,4150300.0,822899.32,14168466.82
271.06,0.0,16694650.0,664371.66,12107795.85
270.73,0.0,11890150.0,1109882.36,11095547.6
270.85,0.0,6140700.0,367801.65,11088516.68
271.2,0.0,16694650.0,838923.95,11080682.18
271.27,0.0,6140700.0,487703.28,11088814.49
271.34,0.0,8755450.0,690499.86,11387556.18
271.39,0.0,4150300.0,483252.54,13465784.49
271.49,0.0,8755450.0,893236.84,17598081.16
271.77,0.0,8755450.0,3439931.95,17548411.08
271.9,530550.0,16694650.0,10896007.17,13324246.75
272.14,2122200.0,8755450.0,13033492.89,11167557.3
272.77,4067550.0,6140700.0,12872034.5,10793651.17
273.34,7215480.0,6140700.0,12575851.94,10707497.39
273.88,9479150.0,4150300.0,11739560.68,10631381.13
274.41,7533810.0,8755450.0,9131687.82,10548217.32
